load_timestamp;ip;visit_id;device_type;url_location;page_type;search_query;product_id;site_department_id;product_unit_price;freight_delivery_time;freight_value;cart_qty;cart_total_value
2019-02-20 17:00:00.004;177.183.24.251;524.537794592527520192031158747-1550692424;desktop;https://www.seusite.com.br/produto/6882519/depurador-compact-ar-60cm-inox-tramontina?pfm_carac=depurador%20de%20ar&pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page%20&sellerId;product;depurador de ar;6882519;227644;669.0;;;;
2019-02-20 17:00:00.009;187.122.5.67;973.44497982255120192031659297-1550692800;mobile;https://www.seusite.com.br/busca/moto-g5-64gb;search;moto g5 64gb;;;;;;;
2019-02-20 17:00:00.011;170.78.92.84;941.96577117695072019203168433-1550689710;desktop;https://www.seusite.com.br/produto/22830632/sofa-de-canto-7-lugares-revestimento-em-sarja-cinza-lan003?opn=YSMESP&loja=79434601000162&epar=bp_pl_00_go_mv_todas_geral_gmv&WT.srch=1&acc=e789ea56094489dffd798f86ff51c7a9&i=58d0aa07eec3dfb1f841c400&o=591203a7eec3dfb1f8c11ed6&gclid=CjwKCAiAkrTjBRAoEiwAXpf9CU0ejfvi88EwBlDUd7N491SqLx3ZUevi43tY1sZ0RX0N2P73GeopNRoCccQQAvD_BwE;product;;22830632;228740;8980.0;;;;
2019-02-20 17:00:00.011;177.1.65.42;756.88826197208412019203170244-1550692662;desktop;https://www.seusite.com.br/busca/lego-xbox-one?ordenacao=topSelling;search;lego xbox one;;;;;;;
2019-02-20 17:00:00.021;187.40.13.182;609.53489937311082019203165826-1550692711;mobile;https://www.seusite.com.br/produto/126831715/google-chromecast-2?WT.srch=1&acc=e789ea56094489dffd798f86ff51c7a9&epar=bp_pl_00_go_inf-aces_acessorios_geral_gmv&gclid=EAIaIQobChMIv9-R5IzL4AIVVAWRCh1ZhQvOEAQYAyABEgIUCfD_BwE&i=5612cbe46ed24cafb5cae011&o=571f5138eec3dfb1f8bb89cf&opn=YSMESP&sellerId=00776574000660;product;;126831715;228098;259.99;;;;
2019-02-20 17:00:00.026;131.255.9.126;474.501754923098420192031559641-1550692800;mobile;https://www.seusite.com.br/produto/133666164/smartphone-motorola-moto-z3-play-dual-chip-android-oreo-8-0-tela-6-octa-core-1-8-ghz-64gb-4g-camera-12-5mp-dual-traseira-indigo?WT.srch=1&acc=e789ea56094489dffd798f86ff51c7a9&epar=bp_pl_00_go_tel_smartphone_todas_geral_gmv&gclid=CjwKCAiAkrTjBRAoEiwAXpf9Cc3PpaLVt_O634kK24bxauRQHc1WFj3un4aoC_DF1X3_ev-7Tw7yVhoC8REQAvD_BwE&i=5612cbe46ed24cafb5cae011&o=5b17ddb2ebb19ac62c68a2cf&opn=YSMESP&sellerId=00776574000660;product;;133666164;229187;1798.99;;;;
2019-02-20 17:00:00.040;201.159.85.1;646.811422298750120192031654110-1550692469;desktop;https://www.seusite.com.br/produto/34919465?DCSext.recom=RR_search.2&api=b2wads&chave=b2wads_5c5c82b4638b220fab8bd02a_436042004752_34919465&context=home&cor=Vermelha&nm_origem=rec_search.2&nm_ranking_rec=1&pfm_carac=Publicidade&pfm_index=0&pfm_page=search&pfm_pos=b2wAds&pfm_type=vit_recommendation&pos=1&sellerId=436042004752&sellerName=Polishop&voltagem=220v;product;;34919465;227763;399.9;;;;
2019-02-20 17:00:00.043;189.4.230.239;196.503715649813420192031642141-1550691744;desktop;https://www.seusite.com.br/produto/16565467/manta-acrilica-resinada-em-metro-com-100-x-150-cm?pfm_carac=manta%20acrilica&pfm_index=3&pfm_page=search&pfm_pos=grid&pfm_type=search_page%20&sellerId;product;manta acrilica;16565467;485893;19.7;;;;
2019-02-20 17:00:00.047;177.38.182.38;228.8055532977543320192031658833-1550692719;mobile;https://www.seusite.com.br/produto/129610424/iphone-7-plus-32gb-preto-matte-tela-retina-hd-5-5-3d-touch-camera-dupla-de-12mp-apple?WT.srch=1&acc=e789ea56094489dffd798f86ff51c7a9&epar=bp_pl_00_go_tel_smartphone_todas_geral_gmv&gclid=CjwKCAiAkrTjBRAoEiwAXpf9CQ3OvY4QQyhNjqPtxkhQUS8cVyAQ7lH6WZHdqyTzOEqWZuYbHcqEXhoCpwoQAvD_BwE&i=5612cbe46ed24cafb5cae011&o=581be4bbeec3dfb1f80af1ac&opn=YSMESP&sellerId=00776574000660;product;;129610424;229187;3199.0;;;;
2019-02-20 17:00:00.055;187.63.99.158;422.8291735827897420192031145289-1550691052;desktop;https://www.seusite.com.br/busca/l-carnitina;search;l carnitina;;;;;;;
